                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.87362,                 1.7186,                0.65755,                 1.1967,                0.89899,                0.91667,                0.94592,                0.71224,                 0.7242,                0.66667,                0.61503,                0.21055,                0.96283,                 1.9666,                0.67793,                 1.7679,              0.0011189,              0.0011189,              0.0011189
                     91,                0.83017,                   1.69,                0.65709,                 1.1655,                0.95166,                      1,                 0.9902,                0.74888,                0.66809,                  0.625,                0.54854,                 0.1608,                0.88176,                 2.3274,                0.61647,                 1.7309,               0.001109,               0.001109,               0.001109
                     92,                0.84833,                 1.7605,                0.65047,                 1.1762,                0.94921,                0.91667,                0.98044,                0.76495,                0.65624,                0.58333,                 0.5142,                0.20461,                0.81626,                 1.9229,                 0.6643,                 1.6668,              0.0010991,              0.0010991,              0.0010991
                     93,                0.83765,                 1.7834,                0.64525,                 1.1806,                0.87945,                0.95833,                0.95872,                0.72491,                0.79092,                  0.625,                0.58001,                0.20958,                0.87145,                 1.9761,                0.81822,                 1.6765,              0.0010892,              0.0010892,              0.0010892
                     94,                0.81948,                 1.7419,                0.64718,                 1.1586,                      1,                0.90324,                 0.9849,                0.80298,                0.65098,                0.58333,                0.49899,                0.21093,                0.83384,                 1.7307,                0.60608,                 1.5908,              0.0010793,              0.0010793,              0.0010793
                     95,                0.82483,                 1.7236,                0.61512,                 1.1614,                0.93249,                0.91667,                0.97138,                0.75727,                0.73614,                0.70833,                0.66924,                0.22167,                 0.8038,                 1.9415,                0.70106,                 1.5651,              0.0010694,              0.0010694,              0.0010694
                     96,                0.81634,                 1.6952,                0.66689,                 1.1613,                      1,                0.92935,                0.98243,                0.77617,                 0.5772,                    0.5,                0.42289,                0.18559,                0.82673,                 2.1694,                0.72232,                 1.5467,              0.0010595,              0.0010595,              0.0010595
                     97,                0.81033,                 1.6898,                0.61331,                  1.146,                0.91602,                0.95833,                0.95716,                 0.7499,                0.62597,                    0.5,                0.42638,                0.21429,                0.86042,                 1.9386,                0.70045,                 1.5982,              0.0010496,              0.0010496,              0.0010496
                     98,                0.78685,                 1.6057,                 0.5986,                 1.1209,                0.93042,                0.83333,                0.91683,                0.70351,                0.67996,                0.54167,                0.48414,                0.18592,                 1.0084,                 1.9639,                0.99545,                 1.7727,              0.0010397,              0.0010397,              0.0010397
                     99,                0.82045,                 1.6327,                0.59505,                  1.154,                0.95952,                0.98789,                  0.975,                0.81541,                0.75101,                  0.625,                0.59901,                0.24022,                 0.7444,                 1.9776,                0.59397,                 1.5407,              0.0010298,              0.0010298,              0.0010298
                    100,                0.79959,                 1.6775,                0.60665,                 1.1603,                 0.9186,                      1,                0.98692,                0.80927,                  0.786,                0.66667,                0.67703,                0.24104,                0.73015,                 1.8534,                0.52937,                 1.5323,              0.0010199,              0.0010199,              0.0010199
                    101,                0.77809,                 1.5768,                0.54862,                 1.1201,                0.88409,                0.95358,                0.97061,                0.76921,                0.79619,                0.58333,                0.59584,                0.20367,                0.80753,                  2.082,                0.62274,                 1.5696,                0.00101,                0.00101,                0.00101
                    102,                 0.7615,                 1.5831,                 0.5529,                 1.1151,                      1,                0.90531,                0.97816,                0.75371,                0.72065,                0.58333,                0.55251,                0.22021,                0.85607,                 1.7768,                0.68822,                 1.6386,              0.0010001,              0.0010001,              0.0010001
                    103,                0.75146,                 1.6093,                0.57306,                 1.1216,                0.95776,                0.94507,                0.98889,                 0.8042,                0.74868,                0.54167,                0.50536,                0.17329,                 0.7844,                 1.8828,                0.55913,                 1.6429,              0.0009902,              0.0009902,              0.0009902
